القسم الرئيسي,القسم الفرعي,اسم الماركة,اسم المنتج بالعربي,اسم المنتج بالإنجليزي,وصف المنتج بالعربي,وصف المنتج بالإنجليزي,السعر,الكمية,الخيارات,رابط صورة المنتج
غذائيات,سمن وزيت,الريف,الريف زيت دوار الشمس حجم 1 لتر,"Al Reef Sunflower Oil,  Liter Size",الريف زيت دوار الشمس حجم 1 لتر,"Al Reef Sunflower Oil,  Liter Size",0,,,https://i.postimg.cc/xd967LNw/36-1.jpg
غذائيات,سمن وزيت,الريف,الريف زيت دوار الشمس حجم 4 لتر,"Al Reef Sunflower Oil, 4 Liter Size",الريف زيت دوار الشمس حجم 4 لتر,"Al Reef Sunflower Oil, 4 Liter Size",0,,,https://i.postimg.cc/hGK2wVQH/36-4.jpg
غذائيات,سمن وزيت,الريف,الريف زيت دوار الشمس حجم 8 كغ,"Al Reef Sunflower Oil, 8 Kg",الريف زيت دوار الشمس حجم 8 كغ,"Al Reef Sunflower Oil, 8 Kg",0,,,https://i.postimg.cc/YStdVQmc/datadata-(47).png
غذائيات,سمن وزيت,الريف,الريف زيت دوار الشمس حجم 16  كغ,"Al Reef Sunflower Oil, 16 Kg",الريف زيت دوار الشمس حجم 16  كغ,"Al Reef Sunflower Oil, 16 Kg",0,,,https://i.postimg.cc/GpbXNvsw/datadata-(48).png
غذائيات,سمن وزيت,الريف, الريف زيت زيتون حجم 500 مل,"Al Reef Olive Oil, 500ml", الريف زيت زيتون حجم 500 مل,"Al Reef Olive Oil, 500ml",0,,,https://i.postimg.cc/XJH7cy7d/nskht-mn-nskht-mn-dwn-ʿnwan-2026-08-11T183854-519.png
غذائيات,سمن وزيت,الريف, الريف زيت زيتون حجم 1 لتر,"Al Reef Olive Oil, 1 Liter", الريف زيت زيتون حجم 1 لتر,"Al Reef Olive Oil, 1 Liter",0,,,https://i.postimg.cc/VN4YmbtT/alryf-zyt-zytwn-1ltr.jpg
غذائيات,بقوليات,الريف,الريف ارز حبة قصيرة حجم 1 كيلو,"Al-Reef short grain rice, 1 kg",الريف ارز حبة قصيرة حجم 1 كيلو,"Al-Reef short grain rice, 1 kg",0,,,https://i.postimg.cc/W4pdGV6y/3216.webp
غذائيات,بقوليات,الريف,الريف ارز حبة طويلة حجم 1 كيلو,"Al-Reef long grain rice, 1 kg",الريف ارز حبة طويلة حجم 1 كيلو,"Al-Reef long grain rice, 1 kg",0,,,https://i.postimg.cc/8kbzgSYq/38-2.jpg
غذائيات,بقوليات,الريف,الريف ارز حبة متوسطة حجم 1 كيلو,"Al-Reef medium grain rice, 1 kg",الريف ارز حبة متوسطة حجم 1 كيلو,"Al-Reef medium grain rice, 1 kg",0,,,https://i.postimg.cc/K8Y0F9W1/Whats-App-Image-2025-02-27-at-1-45-04-AM.jpg
غذائيات,سمن وزيت,الريف,الريف سمنة نباتية نقية 1 كيلو,Al Reef Pure Vegetable Ghee 1 kg,الريف سمنة نباتية نقية 1 كيلو,Al Reef Pure Vegetable Ghee 1 kg,0,,,https://i.postimg.cc/W3C62Ztq/datadata-(45).png
غذائيات,سمن وزيت,الريف,الريف سمنة نباتية نقية 2 كيلو,Al Reef Pure Vegetable Ghee 2 kg,الريف سمنة نباتية نقية 2 كيلو,Al Reef Pure Vegetable Ghee 2 kg,0,,,https://i.postimg.cc/4dqbJcnh/datadata-(46).png
غذائيات,سمن وزيت,الريف,الريف سمنة نباتية نقية 16  كيلو,Al Reef Pure Vegetable Ghee 16 kg,الريف سمنة نباتية نقية 16  كيلو,Al Reef Pure Vegetable Ghee 16 kg,0,,,https://i.postimg.cc/5NK9ypcx/data-bodour-(47).png
